"","x"
"Q2",40.7957765536506
"Q3",43.8841131232635
"Q4",37.1236602969879
"Q5",43.8562862786379
"Q6",49.3895192868347
"Q7",45.9985284045546
"Q8",34.2752658071946
"Q9",57.4706881810197
"Q10",43.126165536089
"Q11",39.8950932012755
"Q12",89.9066524448895
"Q13",74.2588404475547
"Q14",67.6781978301614
"Q15",41.2740186483533
"Q16",33.1969646434499
"Q17",30.1626360814935
"Q18",41.7336610128858
