"","x"
"PC1",54.6198149439886
"PC2",73.9547925981515
"PC3",83.7847359028106
"PC4",88.1754674433616
"PC5",91.4293084630453
"PC6",94.0028494320582
"PC7",95.5171235727501
"PC8",96.7454436826836
"PC9",97.6458522052659
"PC10",98.3445894799239
"PC11",98.9645289433628
"PC12",99.4033378689008
"PC13",99.5731141069228
"PC14",99.7297728299801
"PC15",99.8463808232418
"PC16",99.9278791654302
"PC17",100
