"","x"
"Q2",497.846153846154
"Q3",514.846153846154
"Q4",525.615384615385
"Q5",497.576923076923
"Q6",536.269230769231
"Q7",391.230769230769
"Q8",524.923076923077
"Q9",441
"Q10",435.115384615385
"Q11",464.461538461538
"Q12",491.384615384615
"Q13",523.846153846154
"Q14",439.461538461538
"Q15",483.769230769231
"Q16",530.961538461538
"Q17",471.230769230769
"Q18",390.538461538462
