""," 平方和","自由度","平均平方","F値","P値"
"回帰",55421.5294896194,3,18473.8431632065,147.392408005557,1.02566239920615e-14
"残差",2757.43204884216,22,125.337820401916,NA,NA
"全体",58178.9615384615,25,2327.15846153846,NA,NA
