""," 平方和","自由度","平均平方","F値","P値"
"回帰",104.627772277817,9,11.6253080308686,15.3875904878004,2.39745240045152e-15
"残差",74.0388943888494,98,0.755498922335198,NA,NA
"全体",178.666666666667,107,1.66978193146417,NA,NA
