""," 偏回帰係数","標準誤差","t値","P値","標準化偏回帰係数","トレランス"
"PC1",-0.415781072074128,0.0372521446710989,-11.1612653645872,3.73022492221474e-19,-0.725786007148505,1
"PC2",-0.0785485501657074,0.0555401617449041,-1.41426577989601,0.160453076289615,-0.0919657655210186,1
"PC3",-0.0628946322678466,0.0593035107283012,-1.0605549569569,0.291498999127459,-0.068964935643726,1
"PC4",-0.0617556776344573,0.0695335109812633,-0.888142663342544,0.376638690779152,-0.0577534442869565,1
"PC5",0.108380271521209,0.0822391563943339,1.31786701460713,0.190620532811401,0.0856972222449979,1
"PC8",-0.119818804489937,0.103575518388126,-1.1568255351708,0.250155712095102,-0.0752251432712087,1
"PC9",0.265573392931468,0.10888700038272,2.43898162313243,0.0165278091790938,0.15860018339662,1
"PC10",-0.0413718702038046,0.125391648928207,-0.329941192714453,0.742148633957131,-0.0214551570123783,1
"PC11",0.122130090036415,0.131070099612938,0.931792150895413,0.353733833124807,0.060591848916739,1
"定数項",4.55555555555556,0.0836382710963861,54.4673568192922,4.45911978228428e-75,NA,NA
