""," 平方和","自由度","平均平方","F値","P値"
"回帰",104.648033709387,9,11.627559301043,15.3947832589651,2.36706232832335e-15
"残差",74.0186329572796,98,0.755292173033466,NA,NA
"全体",178.666666666667,107,1.66978193146417,NA,NA
