""," 平方和","自由度","平均平方","F値","P値"
"回帰",100.153849129065,8,12.5192311411332,15.7860069456635,8.84599511860095e-15
"残差",78.5128175376012,99,0.793058763006072,NA,NA
"全体",178.666666666667,107,1.66978193146417,NA,NA
