""," 平方和","自由度","平均平方","F値","P値"
"回帰",105.779178274568,9,11.7532420305075,15.802680877046,1.15417158082604e-15
"残差",72.8874883920991,98,0.743749881552032,NA,NA
"全体",178.666666666667,107,1.66978193146417,NA,NA
