""," 平方和","自由度","平均平方","F値","P値"
"回帰",94.1154053001657,1,94.1154053001657,117.990350475956,6.3528687471523e-19
"残差",84.551261366501,106,0.797653409117933,NA,NA
"全体",178.666666666667,107,1.66978193146417,NA,NA
