""," 平方和","自由度","平均平方","F値","P値"
"回帰",98.3843484640313,5,19.6768696928063,24.9997851781061,2.2718515191899e-16
"残差",80.2823182026354,102,0.787081551006229,NA,NA
"全体",178.666666666667,107,1.66978193146417,NA,NA
