""," 偏回帰係数","標準誤差","t値","P値","標準化偏回帰係数","トレランス"
"PC1",-0.415781072074128,0.0380228111645291,-10.9350429213399,6.98322380773971e-19,-0.725786007148505,1
"PC2",-0.0785485501657075,0.0566891678511136,-1.38560069133498,0.168891168449843,-0.0919657655210187,1
"PC3",-0.0628946322678467,0.0605303724047119,-1.03905906686526,0.301234091037927,-0.0689649356437261,1
"PC4",-0.0617556776344573,0.0709720092893994,-0.870141317017514,0.386266342590992,-0.0577534442869566,1
"PC5",0.108380271521209,0.0839405070908012,1.29115578732412,0.199568204474634,0.0856972222449978,1
"定数項",4.55555555555556,0.0853685664571367,53.3633835569078,2.42312986342526e-76,NA,NA
