""," 偏回帰係数","標準誤差","t値","P値","標準化偏回帰係数","トレランス"
"PC1",-0.415781072074128,0.0382773152631343,-10.8623363267741,6.35286874715217e-19,-0.725786007148505,1
"定数項",4.55555555555556,0.0859399773915198,53.0085728880478,4.02109541345391e-78,NA,NA
