""," 平方和","自由度","平均平方","F値","P値"
"回帰",108.948256386249,17,6.40872096389701,8.27306423699018,3.86595085107422e-12
"残差",69.7184102804175,90,0.77464900311575,NA,NA
"全体",178.666666666667,107,1.66978193146417,NA,NA
