""," 平方和","自由度","平均平方","F値","P値"
"回帰",98.6095898804872,2,49.3047949402436,64.666406475877,4.96821227163075e-19
"残差",80.0570767861794,105,0.762448350344566,NA,NA
"全体",178.666666666667,107,1.66978193146417,NA,NA
