""," 偏回帰係数","標準誤差","t値","P値","標準化偏回帰係数","トレランス"
"PC1",-0.415781072074128,0.0374230836925731,-11.1102835749648,1.98446204556692e-19,-0.725786007148505,1
"PC9",0.265573392931468,0.109386650468937,2.42784098235903,0.0168898211960308,0.15860018339662,1
"定数項",4.55555555555556,0.0840220622672097,54.2185639417874,1.33196670329142e-78,NA,NA
